"Plot Title: 10442667"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 10442667, SEN S/N: 10442667, LBL: byrneslab_GOM2015)","Host Connected (LGR S/N: 10442667)","Coupler Attached (LGR S/N: 10442667)","Stopped (LGR S/N: 10442667)","End Of File (LGR S/N: 10442667)"
336,15/08/18 14:45:00,62.598,,,,
337,15/08/18 15:15:00,63.626,,,,
338,15/08/18 15:45:00,63.282,,,,
339,15/08/18 16:15:00,61.912,,,,
340,15/08/18 16:45:00,61.227,,,,
341,15/08/18 17:15:00,61.398,,,,
342,15/08/18 17:45:00,61.569,,,,
343,15/08/18 18:15:00,61.054,,,,
344,15/08/18 18:45:00,60.539,,,,
345,15/08/18 19:15:00,60.883,,,,
346,15/08/18 19:45:00,59.680,,,,
347,15/08/18 20:15:00,61.398,,,,
348,15/08/18 20:45:00,61.741,,,,
349,15/08/18 21:15:00,61.569,,,,
350,15/08/18 21:45:00,62.425,,,,
351,15/08/18 22:15:00,63.968,,,,
352,15/08/18 22:45:00,64.996,,,,
353,15/08/18 23:15:00,65.338,,,,
354,15/08/18 23:45:00,65.680,,,,
355,15/08/19 00:15:00,65.338,,,,
356,15/08/19 00:45:00,65.338,,,,
357,15/08/19 01:15:00,64.310,,,,
358,15/08/19 01:45:00,62.940,,,,
359,15/08/19 02:15:00,60.195,,,,
360,15/08/19 02:45:00,59.851,,,,
361,15/08/19 03:15:00,60.539,,,,
362,15/08/19 03:45:00,61.741,,,,
363,15/08/19 04:15:00,61.912,,,,
364,15/08/19 04:45:00,60.712,,,,
365,15/08/19 05:15:00,61.398,,,,
366,15/08/19 05:45:00,61.741,,,,
367,15/08/19 06:15:00,61.054,,,,
368,15/08/19 06:45:00,61.569,,,,
369,15/08/19 07:15:00,62.083,,,,
370,15/08/19 07:45:00,61.569,,,,
371,15/08/19 08:15:00,61.398,,,,
372,15/08/19 08:45:00,61.054,,,,
373,15/08/19 09:15:00,60.712,,,,
374,15/08/19 09:45:00,60.539,,,,
375,15/08/19 10:15:00,62.425,,,,
376,15/08/19 10:45:00,63.111,,,,
377,15/08/19 11:15:00,63.797,,,,
378,15/08/19 11:45:00,62.425,,,,
379,15/08/19 12:15:00,60.024,,,,
380,15/08/19 12:45:00,61.398,,,,
381,15/08/19 13:15:00,62.940,,,,
382,15/08/19 13:45:00,64.139,,,,
383,15/08/19 14:15:00,60.539,,,,
384,15/08/19 14:45:00,61.054,,,,
385,15/08/19 15:15:00,61.054,,,,
386,15/08/19 15:45:00,64.996,,,,
387,15/08/19 16:15:00,65.680,,,,
388,15/08/19 16:45:00,62.769,,,,
389,15/08/19 17:15:00,63.111,,,,
390,15/08/19 17:45:00,60.712,,,,
391,15/08/19 18:15:00,61.054,,,,
392,15/08/19 18:45:00,60.883,,,,
393,15/08/19 19:15:00,61.398,,,,
394,15/08/19 19:45:00,60.883,,,,
395,15/08/19 20:15:00,61.569,,,,
396,15/08/19 20:45:00,62.254,,,,
397,15/08/19 21:15:00,62.254,,,,
398,15/08/19 21:45:00,63.455,,,,
399,15/08/19 22:15:00,64.310,,,,
400,15/08/19 22:45:00,65.338,,,,
401,15/08/19 23:15:00,66.193,,,,
402,15/08/19 23:45:00,66.366,,,,
403,15/08/20 00:15:00,66.193,,,,
404,15/08/20 00:45:00,65.509,,,,
405,15/08/20 01:15:00,64.996,,,,
406,15/08/20 01:45:00,64.825,,,,
407,15/08/20 02:15:00,64.652,,,,
408,15/08/20 02:45:00,63.797,,,,
409,15/08/20 03:15:00,63.455,,,,
410,15/08/20 03:45:00,60.539,,,,
411,15/08/20 04:15:00,57.614,,,,
412,15/08/20 04:45:00,57.441,,,,
413,15/08/20 05:15:00,57.096,,,,
414,15/08/20 05:45:00,56.230,,,,
415,15/08/20 06:15:00,55.711,,,,
416,15/08/20 06:45:00,56.057,,,,
417,15/08/20 07:15:00,56.230,,,,
418,15/08/20 07:45:00,55.884,,,,
419,15/08/20 08:15:00,57.268,,,,
420,15/08/20 08:45:00,57.268,,,,
421,15/08/20 09:15:00,58.647,,,,
422,15/08/20 09:45:00,58.303,,,,
423,15/08/20 10:15:00,57.958,,,,
424,15/08/20 10:45:00,58.993,,,,
425,15/08/20 11:15:00,59.851,,,,
426,15/08/20 11:45:00,62.254,,,,
427,15/08/20 12:15:00,61.569,,,,
428,15/08/20 12:45:00,63.455,,,,
429,15/08/20 13:15:00,63.968,,,,
430,15/08/20 13:45:00,62.940,,,,
431,15/08/20 14:15:00,62.940,,,,
432,15/08/20 14:45:00,62.598,,,,
433,15/08/20 15:15:00,63.111,,,,
434,15/08/20 15:45:00,63.797,,,,
435,15/08/20 16:15:00,66.193,,,,
436,15/08/20 16:45:00,61.912,,,,
437,15/08/20 17:15:00,62.083,,,,
438,15/08/20 17:45:00,62.769,,,,
439,15/08/20 18:15:00,61.569,,,,
440,15/08/20 18:45:00,62.083,,,,
441,15/08/20 19:15:00,62.425,,,,
442,15/08/20 19:45:00,61.227,,,,
443,15/08/20 20:15:00,58.820,,,,
444,15/08/20 20:45:00,59.164,,,,
445,15/08/20 21:15:00,59.164,,,,
446,15/08/20 21:45:00,59.851,,,,
447,15/08/20 22:15:00,59.680,,,,
448,15/08/20 22:45:00,60.368,,,,
449,15/08/20 23:15:00,60.024,,,,
450,15/08/20 23:45:00,61.227,,,,
451,15/08/21 00:15:00,61.912,,,,
452,15/08/21 00:45:00,63.626,,,,
453,15/08/21 01:15:00,64.139,,,,
454,15/08/21 01:45:00,64.825,,,,
455,15/08/21 02:15:00,65.851,,,,
456,15/08/21 02:45:00,67.050,,,,
457,15/08/21 03:15:00,66.879,,,,
458,15/08/21 03:45:00,65.509,,,,
459,15/08/21 04:15:00,65.338,,,,
460,15/08/21 04:45:00,67.221,,,,
461,15/08/21 05:15:00,65.509,,,,
462,15/08/21 05:45:00,64.310,,,,
463,15/08/21 06:15:00,63.282,,,,
464,15/08/21 06:45:00,62.940,,,,
465,15/08/21 07:15:00,64.139,,,,
466,15/08/21 07:45:00,63.968,,,,
467,15/08/21 08:15:00,63.968,,,,
468,15/08/21 08:45:00,63.455,,,,
469,15/08/21 09:15:00,61.227,,,,
470,15/08/21 09:45:00,60.368,,,,
471,15/08/21 10:15:00,58.820,,,,
472,15/08/21 10:45:00,58.476,,,,
473,15/08/21 11:15:00,59.164,,,,
474,15/08/21 11:45:00,59.680,,,,
475,15/08/21 12:15:00,60.883,,,,
476,15/08/21 12:45:00,62.769,,,,
477,15/08/21 13:15:00,64.481,,,,
478,15/08/21 13:45:00,63.111,,,,
479,15/08/21 14:15:00,64.139,,,,
480,15/08/21 14:45:00,65.851,,,,
481,15/08/21 15:15:00,64.825,,,,
482,15/08/21 15:45:00,63.455,,,,
483,15/08/21 16:15:00,63.282,,,,
484,15/08/21 16:45:00,63.626,,,,
485,15/08/21 17:15:00,63.111,,,,
486,15/08/21 17:45:00,60.712,,,,
487,15/08/21 18:15:00,59.337,,,,
488,15/08/21 18:45:00,61.227,,,,
489,15/08/21 19:15:00,60.712,,,,
490,15/08/21 19:45:00,61.054,,,,
491,15/08/21 20:15:00,61.569,,,,
492,15/08/21 20:45:00,61.741,,,,
493,15/08/21 21:15:00,63.282,,,,
494,15/08/21 21:45:00,64.139,,,,
495,15/08/21 22:15:00,63.797,,,,
496,15/08/21 22:45:00,63.455,,,,
497,15/08/21 23:15:00,64.139,,,,
498,15/08/21 23:45:00,65.338,,,,
499,15/08/22 00:15:00,63.797,,,,
500,15/08/22 00:45:00,64.652,,,,
501,15/08/22 01:15:00,66.537,,,,
502,15/08/22 01:45:00,66.708,,,,
503,15/08/22 02:15:00,65.509,,,,
504,15/08/22 02:45:00,63.797,,,,
505,15/08/22 03:15:00,62.940,,,,
506,15/08/22 03:45:00,62.598,,,,
507,15/08/22 04:15:00,60.024,,,,
508,15/08/22 04:45:00,58.303,,,,
509,15/08/22 05:15:00,57.441,,,,
510,15/08/22 05:45:00,57.614,,,,
511,15/08/22 06:15:00,57.614,,,,
512,15/08/22 06:45:00,57.785,,,,
513,15/08/22 07:15:00,58.303,,,,
514,15/08/22 07:45:00,59.164,,,,
515,15/08/22 08:15:00,59.508,,,,
516,15/08/22 08:45:00,59.508,,,,
517,15/08/22 09:15:00,59.680,,,,
518,15/08/22 09:45:00,59.508,,,,
519,15/08/22 10:15:00,59.508,,,,
520,15/08/22 10:45:00,60.024,,,,
521,15/08/22 11:15:00,59.680,,,,
522,15/08/22 11:45:00,60.539,,,,
523,15/08/22 12:15:00,60.024,,,,
524,15/08/22 12:45:00,60.712,,,,
525,15/08/22 13:15:00,63.455,,,,
526,15/08/22 13:45:00,64.652,,,,
